Педагог дополнительного образования (программирование scratch/python, робототехника lego) | Будьте первым | от 18000 руб. | Проведение образовательных программ на доп. площадке центра - в п. Ильинское и в г. Жуковский МО. Контроль выполнения учениками…Коммуникабельность, грамотно поставленная речь. Наличие мед.книжки. Желание развиваться и повышать квалификацию. Наличие… | https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-44818691.html
Разработчик Python | Удаленная работа | от 180000 руб. | Имеете опыт разработки на Python более 2х лет. Работали с DRF, FastAPI, Celery или аналогичными системами. Работали с реляционными… | https://russia.superjob.ru/vakansii/razrabotchik-python-41696139.html
Senior Python Developer | None | 0 руб | Развитие системы сбора и подготовки данных (импорты, предварительные расчеты данных). Имплементация ETL, Data пайплайновОбщий опыт коммерческой разработки от 3-х лет. Отличные знания Python 3. Опыт работы с Django, DRF, Aiohttp, celery. Опыт… | https://russia.superjob.ru/vakansii/senior-python-developer-43768262.html
Back-end разработчик (python) (в офисе) | Опыт не нужен | от 50000 руб. | Создание REST API. Работа с базами данных (PostgreSQL). Интеграция с внешними API и сторонними сервисамиОпыт работы с SQL, PostgreSQL, flask (желательно). Опыт работы с Rest API. Высшее образование. Для кандидатов мужского пола… | https://russia.superjob.ru/vakansii/back-end-razrabotchik-44698442.html
Педагог на направление Python | Опыт не нужен | от 20000 руб. | Помощь и поддержка обучающихся в освоении языка программирования Python. Разработка совместных проектов с учащимися. Участие…Образование высшее или среднее специальное (рассматриваются студенты начиная с 4го курса). Опыт работы приветствуется (рассматриваются… | https://russia.superjob.ru/vakansii/pedagog-na-napravlenie-python-43502923.html
Специалист по обработке данных R, Python, SPSS | None | 0 руб | Участие в разработке системы критериев и показателей для оценивания эффективности деятельности по психологическому сопровождению…Высшее психологическое или социологическое образование. Владение современными цифровыми инструментами (Microsoft Office,… | https://russia.superjob.ru/vakansii/specialist-po-obrabotke-dannyh-r-42635052.html
Fullstack-разработчик Python/Vue.js | Удаленная работа | до 80000 руб. | Реализация новых функций продукта; Разработка и доработка текущего продукта. Интеграция с внешними источниками данных (парсинг…Python;Vue.js; Quasar; JavaScript; Django Framework; PostgreSQL; CSS | https://russia.superjob.ru/vakansii/fullstack-razrabotchik-python-44750769.html
Учитель информатики и робототехники, LEGO-конструирование, РОББО, Scratch, Python | Доступно студентам | 0 руб | Проведение занятий с детьми школьного возраста по одному или нескольким направлениям. Информатика. Робототехника. Программирование…Ответственность. Опыт работы с детьми | https://russia.superjob.ru/vakansii/uchitel-informatiki-i-robototehniki-38641581.html
Преподаватель по направлению Программирование Python | None | 0 руб | Проведение занятий с детьми дошкольного/школьного возраста разного уровня сложности по направлению программирование на языке…Высшее/среднее профессиональное образование по специальности, соответствующего профиля обучения. Наличие медицинской книжки | https://russia.superjob.ru/vakansii/prepodavatel-po-napravleniyu-programmirovanie-python-44631086.html
Программист Python | Доступно студентам | 0 руб | Автоматизация процессов обработки и распространения данных потребителям с космических аппаратов. Программирование на языке…Образование высшее (обучение на последних курсах бакалавриата, вечернее отделение). Навыки работы с ОС Linux (Cent OS, open… | https://russia.superjob.ru/vakansii/programmist-python-44186748.html
Middle-BackEnd-разработчик (Python) | Удаленная работа | 0 руб | Verme — это блок решений для оптимизации и автоматизации операционной деятельности по управлению персоналом. Продуктами Verme…Хочешь развиваться сам и развивать продукт Моя Смена. Умеешь писать быстрый и поддерживаемый код. Мотивирован на работу без… | https://russia.superjob.ru/vakansii/middle-backend-razrabotchik-44673065.html
Middle Python developer | None | 0 руб | Разработка чистого, безопасного, готового к работе кода на Python. Проектирование и декомпозиция задач на спринт вместе с…2+ года коммерческой разработки beckend на Python. Опыт проектирования внутренней архитектуры. Опыт работы с современными… | https://russia.superjob.ru/vakansii/middle-python-developer-44735926.html
Ведущий сетевой администратор (гор. Ялта) | None | 0 руб | Развитие и поддержка сетевой инфраструктуры компании. Настройка, пуско-наладка сетевой и беспроводной инфраструктуры на объектеВысшее профильное образование - обязательно. Обширный опыт работы с оборудованием Cisco (IOS XE, IOS XR, NX-OS), Nexus и MikroTik | https://russia.superjob.ru/vakansii/veduschij-setevoj-administrator-44645268.html
Системный аналитик | None | 0 руб | Интервьюирование бизнес-заказчиков. Анализ и формализация бизнес-процессов, требований к витринам данных / кубам. Проектирование…Стек: Kafka, PostgreSQL, ClickHouse, Apache Superset. Опыт в области анализа данных и системного анализа от 3 лет. Знание… | https://russia.superjob.ru/vakansii/sistemnyj-analitik-44181976.html
DevOps Engineer | Отклик без резюме | 0 руб | Поддержка, внедрение и улучшение CI/CD процессов. Сопровождение сервисов от разработки до эксплуатации, участие в эксплуатацииОпыт построения реальных нагруженных отказоустойчивых публичных сервисов с помощью Docker и Kubernetes. Опыт построения и… | https://russia.superjob.ru/vakansii/devops-engineer-42890350.html
Инженер 2 категории | None | 70000 — 100000 руб. | Создание новых информационных продуктов и технологий на основе анализа математических моделей и алгоритмов решения задачОпыт работы с ОС: Windows, Linux, желательно и С++. Языки программирования: Matlab, Python. Программные библиотеки: OpenCV… | https://russia.superjob.ru/vakansii/inzhener-2-kategorii-43004529.html
Аналитик данных | None | 0 руб | Искать и анализировать данные из разных источников, разрабатывать математические модели. Визуализировать и интерпретировать…Высшее техническое или экономическое образование. Опыт анализа больших объемов данных, построения моделей, прогнозирования… | https://russia.superjob.ru/vakansii/analitik-dannyh-44488229.html
Учитель информатики | None | 0 руб | Проведение уроков по ИКТ в 7-11 классах. Подготовка школьников к ОГЭ и ЕГЭ. Подготовка школьников к олимпиадам по информатикеВысшее техническое/педагогическое образование. Опыт работы в школе от 3-лет. Знание Scratch. Опыт программирования на Python… | https://russia.superjob.ru/vakansii/uchitel-informatiki-32935080.html
